Distrito,Causa_Morte,Ano,Obitos
Distrito de Beja,SIDA,2019,1
Distrito de Beja,Suicídio,2019,25
Distrito de Beja,Tuberculose,2019,1
Distrito de Beja,Tumores malignos,2019,466
Distrito de Beja,Diabetes,2020,103
Distrito de Beja,Doenças do aparelho circulatório,2020,816
Distrito de Beja,Doenças do aparelho digestivo,2020,102
Distrito de Beja,Doenças do aparelho respiratório,2020,175
Distrito de Beja,SIDA,2020,1
Distrito de Beja,Suicídio,2020,24
Distrito de Beja,Tuberculose,2020,1
Distrito de Beja,Tumores malignos,2020,524
Distrito de Beja,Diabetes,2021,84
Distrito de Beja,Doenças do aparelho circulatório,2021,771
Distrito de Beja,Doenças do aparelho digestivo,2021,110
Distrito de Beja,Doenças do aparelho respiratório,2021,198
Distrito de Beja,SIDA,2021,2
Distrito de Beja,Suicídio,2021,30
Distrito de Beja,Tuberculose,2021,2
Distrito de Beja,Tumores malignos,2021,456
Distrito de Beja,Diabetes,2022,94
Distrito de Beja,Doenças do aparelho circulatório,2022,759
Distrito de Beja,Doenças do aparelho digestivo,2022,136
Distrito de Beja,Doenças do aparelho respiratório,2022,173
Distrito de Beja,SIDA,2022,1
Distrito de Beja,Suicídio,2022,32
Distrito de Beja,Tuberculose,2022,3
Distrito de Beja,Tumores malignos,2022,461
Distrito de Beja,Diabetes,2023,95
Distrito de Beja,Doenças do aparelho circulatório,2023,699
Distrito de Beja,Doenças do aparelho digestivo,2023,115
Distrito de Beja,Doenças do aparelho respiratório,2023,213
Distrito de Beja,SIDA,2023,4
Distrito de Beja,Suicídio,2023,30
Distrito de Beja,Tuberculose,2023,3
Distrito de Beja,Tumores malignos,2023,492
Distrito de Braga,Diabetes,2001,125
Distrito de Braga,Doenças do aparelho circulatório,2001,1908
Distrito de Braga,Doenças do aparelho digestivo,2001,242
Distrito de Braga,Doenças do aparelho respiratório,2001,542
Distrito de Braga,SIDA,2001,10
Distrito de Braga,Suicídio,2001,20
Distrito de Braga,Tuberculose,2001,15
Distrito de Braga,Tumores malignos,2001,1041
Distrito de Braga,Diabetes,2002,138
Distrito de Braga,Doenças do aparelho circulatório,2002,1887
Distrito de Braga,Doenças do aparelho digestivo,2002,250
Distrito de Braga,Doenças do aparelho respiratório,2002,571
Distrito de Braga,SIDA,2002,11
Distrito de Braga,Suicídio,2002,24
Distrito de Braga,Tuberculose,2002,14
